"","gamma","child_weight","depth","subsample","col_subsample","eta","n_iterations","cv_rmse","std_deviation"
"1",0,1,9,0.8,0.8,0.01,4897,5.5223436,0.0667864935944022
"1",0,1,9,0.8,0.8,0.05,1540,5.3948758,0.0622725842643367
"1",0,1,9,0.8,0.8,0.08,905,5.4214642,0.0596829267928434
"1",0,1,9,0.9,0.8,0.01,7534,5.3919632,0.0655342809356983
"1",0,1,9,0.9,0.8,0.05,1627,5.3856618,0.0600460737047454
"1",0,1,9,0.9,0.8,0.08,786,5.4767804,0.0685077437071134
"1",0,1,9,1,0.8,0.01,7156,5.6668212,0.074228530370499
"1",0,1,9,1,0.8,0.05,1531,5.6055468,0.0702672204670014
"1",0,1,9,1,0.8,0.08,1416,5.458468,0.069602593262039
"1",0,1,10,0.8,0.8,0.01,5140,5.3386182,0.0659112723997869
"1",0,1,10,0.8,0.8,0.05,1150,5.3335684,0.0633114872755466
"1",0,1,10,0.8,0.8,0.08,797,5.3301538,0.0572801514048616
"1",0,1,10,0.9,0.8,0.01,4618,5.3890688,0.0643134711500228
"1",0,1,10,0.9,0.8,0.05,1392,5.2974668,0.0591020074189946
"1",0,1,10,0.9,0.8,0.08,857,5.317787,0.0646062748438288
"1",0,1,10,1,0.8,0.01,6166,5.5433362,0.0777595640816037
"1",0,1,10,1,0.8,0.05,1693,5.4136748,0.0588301399297754
"1",0,1,10,1,0.8,0.08,1121,5.3906248,0.0627244692584476
"1",0,1,11,0.8,0.8,0.01,4376,5.268379,0.0643724028850614
"1",0,1,11,0.8,0.8,0.05,927,5.2852148,0.0526745858698874
"1",0,1,11,0.8,0.8,0.08,510,5.3251602,0.0516784615459951
"1",0,1,11,0.9,0.8,0.01,4256,5.282981,0.0597434952843893
"1",0,1,11,0.9,0.8,0.05,939,5.2817642,0.0564527827388182
"1",0,1,11,0.9,0.8,0.08,717,5.2720696,0.0556039208998799
"1",0,1,11,1,0.8,0.01,4470,5.502793,0.0517784353375385
"1",0,1,11,1,0.8,0.05,1578,5.3195748,0.0452918892403584
"1",0,1,11,1,0.8,0.08,777,5.3565746,0.0507048176985147
"1",0,1,9,0.8,0.9,0.01,4897,5.5223442,0.0667863820532175
"1",0,1,9,0.8,0.9,0.05,1540,5.3948758,0.0622725842643367
"1",0,1,9,0.8,0.9,0.08,905,5.421464,0.0596831874517017
"1",0,1,9,0.9,0.9,0.01,7534,5.391963,0.065534536995421
"1",0,1,9,0.9,0.9,0.05,1627,5.385662,0.0600463919748803
"1",0,1,9,0.9,0.9,0.08,786,5.4767804,0.0685077437071134
"1",0,1,9,1,0.9,0.01,7156,5.6668214,0.074228333546147
"1",0,1,9,1,0.9,0.05,1531,5.6055472,0.0702672542408997
"1",0,1,9,1,0.9,0.08,1416,5.4584678,0.0696028622670085
"1",0,1,10,0.8,0.9,0.01,5140,5.3386182,0.0659113635950346
"1",0,1,10,0.8,0.9,0.05,1150,5.3335688,0.0633116256098276
"1",0,1,10,0.8,0.9,0.08,797,5.3301538,0.0572800627423065
"1",0,1,10,0.9,0.9,0.01,4618,5.3890692,0.0643130848596096
"1",0,1,10,0.9,0.9,0.05,1392,5.297467,0.0591017464614968
"1",0,1,10,0.9,0.9,0.08,857,5.3177864,0.0646061222225919
"1",0,1,10,1,0.9,0.01,6166,5.5433362,0.0777595640816037
"1",0,1,10,1,0.9,0.05,1693,5.413675,0.0588302574905339
"1",0,1,10,1,0.9,0.08,1121,5.3906244,0.0627248517434636
"1",0,1,11,0.8,0.9,0.01,4376,5.2683784,0.0643728365682038
"1",0,1,11,0.8,0.9,0.05,927,5.2852148,0.0526745858698874
"1",0,1,11,0.8,0.9,0.08,510,5.3251602,0.0516784615459951
"1",0,1,11,0.9,0.9,0.01,4256,5.2829808,0.0597435283571747
"1",0,1,11,0.9,0.9,0.05,939,5.2817644,0.0564525827313299
"1",0,1,11,0.9,0.9,0.08,717,5.2720692,0.0556040794921196
"1",0,1,11,1,0.9,0.01,4470,5.5027928,0.0517785575171807
"1",0,1,11,1,0.9,0.05,1578,5.3195748,0.0452915529669804
"1",0,1,11,1,0.9,0.08,777,5.3565746,0.0507044218292833
"1",0,1,9,0.8,1,0.01,4897,5.5223436,0.0667864935944022
"1",0,1,9,0.8,1,0.05,1540,5.3948758,0.0622725842643367
"1",0,1,9,0.8,1,0.08,905,5.4214642,0.0596829267928434
"1",0,1,9,0.9,1,0.01,7534,5.3919632,0.0655347531662221
"1",0,1,9,0.9,1,0.05,1627,5.3856618,0.0600460737047454
"1",0,1,9,0.9,1,0.08,786,5.4767804,0.0685077437071134
"1",0,1,9,1,1,0.01,7156,5.666821,0.0742282136657154
"1",0,1,9,1,1,0.05,1531,5.6055474,0.0702671635818741
"1",0,1,9,1,1,0.08,1416,5.4584678,0.0696028622670085
